hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP5-8.5,2020,2.5255,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,5,SSP5-8.5,2020,2.6495,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,10,SSP5-8.5,2020,2.7185,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,25,SSP5-8.5,2020,2.7925,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,50,SSP5-8.5,2020,2.8395,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,100,SSP5-8.5,2020,2.8805,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,200,SSP5-8.5,2020,2.9165,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,500,SSP5-8.5,2020,2.9565,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,1000,SSP5-8.5,2020,2.9835,,coastal_delta_additive(delta_m=0.0000),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,2,SSP5-8.5,2020,0.17512000000000003,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,5,SSP5-8.5,2020,0.26235,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,10,SSP5-8.5,2020,0.32791,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,25,SSP5-8.5,2020,0.41998,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,50,SSP5-8.5,2020,0.49544000000000005,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,100,SSP5-8.5,2020,0.57695,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,200,SSP5-8.5,2020,0.66495,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,500,SSP5-8.5,2020,0.79266,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,1000,SSP5-8.5,2020,0.8987,1.1,uniform(factor=1.1),"Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: baseline scaled by uniform user-provided factors (fluvial=1.1, pluvial=1.15). Provide --delta-T to enable return-period-specific GEV-CC scaling.",0.0,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
