hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP2-4.5,2100,4.042199999999999,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,5,SSP2-4.5,2100,4.1212,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,10,SSP2-4.5,2100,4.1552,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,25,SSP2-4.5,2100,4.184200000000001,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,50,SSP2-4.5,2100,4.1982,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,100,SSP2-4.5,2100,4.2082,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,200,SSP2-4.5,2100,4.216200000000001,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,500,SSP2-4.5,2100,4.2232,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
coastal,1000,SSP2-4.5,2100,4.2262,,coastal_delta_additive(delta_m=0.9520),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,2,SSP2-4.5,2100,1.1500481477287428,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,5,SSP2-4.5,2100,2.102268904486775,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,10,SSP2-4.5,2100,2.848736145388881,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,25,SSP2-4.5,2100,3.948295963369337,1.0857705322212454,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,50,SSP2-4.5,2100,4.894327828093707,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,100,SSP2-4.5,2100,5.959794451362415,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,200,SSP2-4.5,2100,7.163262509276444,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,500,SSP2-4.5,2100,9.000169095688344,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
fluvial,1000,SSP2-4.5,2100,10.604503634098458,1.0857705322212452,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,2,SSP2-4.5,2100,0.0057350000000000005,1.147,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,5,SSP2-4.5,2100,0.1392458,1.147,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,10,SSP2-4.5,2100,0.3559141,1.147,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,25,SSP2-4.5,2100,0.6298177000000001,1.1470000000000002,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,50,SSP2-4.5,2100,0.8329514000000001,1.1470000000000002,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,100,SSP2-4.5,2100,1.034594,1.147,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,200,SSP2-4.5,2100,1.2355484,1.1470000000000002,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,500,SSP2-4.5,2100,1.5006201000000003,1.1470000000000002,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
pluvial,1000,SSP2-4.5,2100,1.7008863,1.147,"GEV-CC(delta_T=2.1C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=2.1C; cc_rate=0.07/C.,0.952,source_units=mm,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp245/total-workflow.zarr
