hazard_type,return_period,scenario,horizon,water_level_m,scaling_factor,scaling_method,source_note,coastal_delta_m,coastal_delta_conversion,coastal_source_url
coastal,2,SSP5-8.5,2020,1.4176,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,5,SSP5-8.5,2020,1.5476,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,10,SSP5-8.5,2020,1.6276,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,25,SSP5-8.5,2020,1.7376,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,50,SSP5-8.5,2020,1.8176,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,100,SSP5-8.5,2020,1.8976,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,200,SSP5-8.5,2020,1.9776,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,500,SSP5-8.5,2020,2.0876,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
coastal,1000,SSP5-8.5,2020,2.1676,,coastal_delta_additive(delta_m=0.0000),Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,2,SSP5-8.5,2020,2.3076,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,5,SSP5-8.5,2020,2.7465,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,10,SSP5-8.5,2020,3.0299,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,25,SSP5-8.5,2020,3.3841,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,50,SSP5-8.5,2020,3.6457,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,100,SSP5-8.5,2020,3.9055,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,200,SSP5-8.5,2020,4.1652,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,500,SSP5-8.5,2020,4.5105,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
fluvial,1000,SSP5-8.5,2020,4.7741,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=0.6)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,2,SSP5-8.5,2020,0.04,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,5,SSP5-8.5,2020,0.064095,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,10,SSP5-8.5,2020,0.080047,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,25,SSP5-8.5,2020,0.100203,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,50,SSP5-8.5,2020,0.115156,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,100,SSP5-8.5,2020,0.129999,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,200,SSP5-8.5,2020,0.144787,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,500,SSP5-8.5,2020,0.164298,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
pluvial,1000,SSP5-8.5,2020,0.179043,1.0,"GEV-CC(delta_T=0.0C, cc_rate=0.07, hydraulic_exponent=1.0)",Coastal: IPCC AR6 Zarr delta added to baseline. Fluvial/pluvial: return-period-specific GEV-CC scaling; delta_T=0.0C; cc_rate=0.07/C.,0.0,IPCC AR6 Zarr tide-gauge workflow; nearest location; p50; baseline=2020,https://storage.googleapis.com/ar6-lsl-simulations-public-standard/tide-gauges/full_sample_workflows/wf_1e/ssp585/total-workflow.zarr
